ARMS_Unit,Region,Region_ADJ,Island,Acidopsidae,Aethridae,Carpiliidae,Domeciidae,Dromiidae,Dynomenidae,Epialtidae,Eumedonidae,Euryplacidae,Grapsidae,Hymenosomatidae,Inachidae,Leucosiidae,Majidae,Majoidea,Mithracidae,Palicidae,Parthenopidae,Percnidae,Pilumnidae,Pisidae,Plagusiidae,Portunidae,Tanaochelidae,Tetraliidae,Trapeziidae,Xanthidae
JAR04_B,Pacific Remote Islands,Line Islands,Jarvis,0,0,0,0,0,0,8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5,0,0,0,7
JAR04_C,Pacific Remote Islands,Line Islands,Jarvis,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,6,0,0,2,0,0,0,2
JAR08_A,Pacific Remote Islands,Line Islands,Jarvis,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,11
JAR08_B,Pacific Remote Islands,Line Islands,Jarvis,0,0,0,0,0,0,15,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,12
JAR08_C,Pacific Remote Islands,Line Islands,Jarvis,0,0,0,0,0,0,12,0,0,0,0,9,0,1,0,0,0,0,1,0,0,0,4,0,0,1,9
JAR11_A,Pacific Remote Islands,Line Islands,Jarvis,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,5
JAR11_B,Pacific Remote Islands,Line Islands,Jarvis,0,0,0,0,0,0,2,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,2,0,0,0,5
JAR11_C,Pacific Remote Islands,Line Islands,Jarvis,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
JOH10_A,Pacific Remote Islands,Main Hawaiian Islands,Johnston,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19
JOH10_B,Pacific Remote Islands,Main Hawaiian Islands,Johnston,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18
JOH10_C,Pacific Remote Islands,Main Hawaiian Islands,Johnston,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18
JOH11_A,Pacific Remote Islands,Main Hawaiian Islands,Johnston,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,11
JOH11_B,Pacific Remote Islands,Main Hawaiian Islands,Johnston,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,18
JOH11_C,Pacific Remote Islands,Main Hawaiian Islands,Johnston,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,36
JOH12_A,Pacific Remote Islands,Main Hawaiian Islands,Johnston,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,35
JOH12_B,Pacific Remote Islands,Main Hawaiian Islands,Johnston,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,33
JOH12_C,Pacific Remote Islands,Main Hawaiian Islands,Johnston,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,35
KIN05_C,Pacific Remote Islands,Line Islands,Kingman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
KIN11_A,Pacific Remote Islands,Line Islands,Kingman,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
KIN11_B,Pacific Remote Islands,Line Islands,Kingman,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1
KIN11_C,Pacific Remote Islands,Line Islands,Kingman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
KIN13_A,Pacific Remote Islands,Line Islands,Kingman,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
KIN13_B,Pacific Remote Islands,Line Islands,Kingman,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,2
KIN13_C,Pacific Remote Islands,Line Islands,Kingman,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
PAL01_A,Pacific Remote Islands,Line Islands,Palmyra,0,0,0,0,0,0,8,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14
PAL01_B,Pacific Remote Islands,Line Islands,Palmyra,0,0,0,0,0,0,10,0,0,0,0,11,0,0,0,0,0,0,0,2,0,0,0,0,0,1,4
PAL01_C,Pacific Remote Islands,Line Islands,Palmyra,0,0,0,0,0,0,6,0,0,0,0,9,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
PAL17_A,Pacific Remote Islands,Line Islands,Palmyra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
PAL17_B,Pacific Remote Islands,Line Islands,Palmyra,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
PAL17_C,Pacific Remote Islands,Line Islands,Palmyra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
PAL19_A,Pacific Remote Islands,Line Islands,Palmyra,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
PAL19_B,Pacific Remote Islands,Line Islands,Palmyra,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0
PAL19_C,Pacific Remote Islands,Line Islands,Palmyra,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2
WAK06_A,Pacific Remote Islands,Mariana Islands,Wake,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,6
WAK06_B,Pacific Remote Islands,Mariana Islands,Wake,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
WAK06_C,Pacific Remote Islands,Mariana Islands,Wake,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5
WAK08_A,Pacific Remote Islands,Mariana Islands,Wake,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4
WAK09_A,Pacific Remote Islands,Mariana Islands,Wake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
WAK09_B,Pacific Remote Islands,Mariana Islands,Wake,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
WAK09_C,Pacific Remote Islands,Mariana Islands,Wake,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,11
