ARMS_Unit,Region,Region_ADJ,Island,Acidopsidae,Aethridae,Carpiliidae,Domeciidae,Dromiidae,Dynomenidae,Epialtidae,Eumedonidae,Euryplacidae,Grapsidae,Hymenosomatidae,Inachidae,Leucosiidae,Majidae,Majoidea,Mithracidae,Palicidae,Parthenopidae,Percnidae,Pilumnidae,Pisidae,Plagusiidae,Portunidae,Tanaochelidae,Tetraliidae,Trapeziidae,Xanthidae
TUT01_B,American Samoa,American Samoa,Tutuila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1
TUT01_C,American Samoa,American Samoa,Tutuila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1
TUT11_A,American Samoa,American Samoa,Tutuila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
TUT11_B,American Samoa,American Samoa,Tutuila,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1
TUT11_C,American Samoa,American Samoa,Tutuila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1
TUT22_A,American Samoa,American Samoa,Tutuila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
TUT22_B,American Samoa,American Samoa,Tutuila,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,8
TUT22_C,American Samoa,American Samoa,Tutuila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3
KIM01_A,Coral Triangle,Coral Triangle,Papua New Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0,0,5
KIM01_B,Coral Triangle,Coral Triangle,Papua New Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,1,0,3
KIM01_C,Coral Triangle,Coral Triangle,Papua New Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,10,0,1,9
KIM02_A,Coral Triangle,Coral Triangle,Papua New Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,0,0,3
KIM02_B,Coral Triangle,Coral Triangle,Papua New Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,8,0,1,1
KIM02_C,Coral Triangle,Coral Triangle,Papua New Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,2,15
KIM03_A,Coral Triangle,Coral Triangle,Papua New Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,0,0,0
KIM03_B,Coral Triangle,Coral Triangle,Papua New Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,9,0,0,0
KIM03_C,Coral Triangle,Coral Triangle,Papua New Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,3
TIM01_A,Coral Triangle,Coral Triangle,Timor Leste,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,7,3
TIM01_B,Coral Triangle,Coral Triangle,Timor Leste,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,2,1
TIM01_C,Coral Triangle,Coral Triangle,Timor Leste,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,1,6
TIM02_A,Coral Triangle,Coral Triangle,Timor Leste,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,3,0,0,1,9
TIM02_B,Coral Triangle,Coral Triangle,Timor Leste,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,19,5,0,6,0,0,0,10
TIM02_C,Coral Triangle,Coral Triangle,Timor Leste,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,13,0,0,4,0,0,0,19
TIM03_A,Coral Triangle,Coral Triangle,Timor Leste,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,2,0,0,2,3
